"Group","Year","Date","Sport","Gold","Athlete","Age","Country","Silver","Bronze","Total"
"C","2006","26/02/2006","Speed Skating","0","Kristina Groves","29","Canada","2","0","2"
"C","2006","26/02/2006","Speed Skating","1","Clara Hughes","33","Canada","1","0","2"
"N","2006","26/02/2006","Speed Skating","0","Sven Kramer","19","Netherlands","1","1","2"
"G","2006","26/02/2006","Speed Skating","1","Claudia Pechstein","33","Germany","1","0","2"
"N","2006","26/02/2006","Speed Skating","0","Carl Verheijen","30","Netherlands","0","2","2"
"N","2006","26/02/2006","Speed Skating","0","Erben Wennemars","30","Netherlands","0","2","2"
"N","2006","26/02/2006","Speed Skating","1","Ireen Wüst","19","Netherlands","0","1","2"
"U","2002","24/02/2002","Speed Skating","1","Derek Parra","31","United States","1","0","2"
"G","2002","24/02/2002","Speed Skating","2","Claudia Pechstein","29","Germany","0","0","2"
"U","2002","24/02/2002","Speed Skating","0","Jennifer Rodriguez","25","United States","0","2","2"
"S","2010","28/02/2010","Ski Jumping","2","Simon Ammann","28","Switzerland","0","0","2"
"P","2010","28/02/2010","Ski Jumping","0","Adam Malysz","32","Poland","2","0","2"
"F","2006","26/02/2006","Ski Jumping","0","Matti Hautamäki","24","Finland","2","0","2"
"A","2006","26/02/2006","Ski Jumping","1","Andreas Kofler","21","Austria","1","0","2"
"N","2006","26/02/2006","Ski Jumping","0","Roar Ljøkelsøy","29","Norway","0","2","2"
"A","2006","26/02/2006","Ski Jumping","2","Thomas Morgenstern","19","Austria","0","0","2"
"S","2002","24/02/2002","Ski Jumping","2","Simon Ammann","20","Switzerland","0","0","2"
"G","2002","24/02/2002","Ski Jumping","1","Sven Hannawald","27","Germany","1","0","2"
"F","2002","24/02/2002","Ski Jumping","0","Matti Hautamäki","20","Finland","1","1","2"
"P","2002","24/02/2002","Ski Jumping","0","Adam Malysz","24","Poland","1","1","2"
"I","2012","12/08/2012","Shooting","1","Niccolò Campriani","24","Italy","1","0","2"
"S","2012","12/08/2012","Shooting","2","Jin Jong-O","32","South Korea","0","0","2"
"U","2012","12/08/2012","Shooting","0","Olena Kostevych","27","Ukraine","0","2","2"
"S","2008","24/08/2008","Shooting","1","Jin Jong-O","28","South Korea","1","0","2"
"C","2008","24/08/2008","Shooting","1","Katerina Kurková-Emmons","24","Czech Republic","1","0","2"
"R","2004","29/08/2004","Shooting","1","Lyubov Galkina","31","Russia","1","0","2"
"B","2004","29/08/2004","Shooting","1","Mariya Grozdeva","32","Bulgaria","0","1","2"
"S","2004","29/08/2004","Shooting","0","Lee Bo-Na","23","South Korea","1","1","2"
"R","2004","29/08/2004","Shooting","1","Mikhail Nestruyev","35","Russia","1","0","2"
"B","2000","01/10/2000","Shooting","0","Igor Basinsky","37","Belarus","1","1","2"
"C","2000","01/10/2000","Shooting","1","Tao Luna","26","China","1","0","2"
"A","2012","12/08/2012","Rowing","0","Kim Crow","26","Australia","1","1","2"
"R","2008","24/08/2008","Rowing","1","Georgeta Damian-Andrunache","32","Romania","0","1","2"
"R","2008","24/08/2008","Rowing","1","Viorica Susanu","32","Romania","0","1","2"
"R","2004","29/08/2004","Rowing","2","Georgeta Damian-Andrunache","28","Romania","0","0","2"
"R","2004","29/08/2004","Rowing","2","Viorica Susanu","28","Romania","0","0","2"
"R","2000","01/10/2000","Rowing","2","Georgeta Damian-Andrunache","24","Romania","0","0","2"
"R","2000","01/10/2000","Rowing","2","Doina Ignat","31","Romania","0","0","2"
"N","2000","01/10/2000","Rowing","0","Pieta van Dishoeck","28","Netherlands","2","0","2"
"N","2000","01/10/2000","Rowing","0","Eeke van Nes","31","Netherlands","2","0","2"
"U","2010","28/02/2010","Nordic Combined","1","Bill Demong","29","United States","1","0","2"
"A","2010","28/02/2010","Nordic Combined","1","Bernhard Gruber","27","Austria","0","1","2"
"N","2006","26/02/2006","Nordic Combined","0","Magnus Moan","22","Norway","1","1","2"
"G","2002","24/02/2002","Nordic Combined","0","Ronny Ackermann","24","Germany","2","0","2"
"F","2002","24/02/2002","Nordic Combined","1","Jaakko Tallus","20","Finland","1","0","2"
"R","2012","12/08/2012","Gymnastics","0","Denis Ablyazin","19","Russia","1","1","2"
"C","2012","12/08/2012","Gymnastics","1","Chen Yibing","27","China","1","0","2"
"U","2012","12/08/2012","Gymnastics","2","Gabby Douglas","16","United States","0","0","2"
"C","2012","12/08/2012","Gymnastics","2","Feng Zhe","24","China","0","0","2"
"R","2012","12/08/2012","Gymnastics","1","Sandra Izbasa","22","Romania","0","1","2"
"R","2012","12/08/2012","Gymnastics","0","Viktoriya Komova","17","Russia","2","0","2"
"U","2012","12/08/2012","Gymnastics","1","McKayla Maroney","16","United States","1","0","2"
"G","2012","12/08/2012","Gymnastics","0","Marcel Nguyen","24","Germany","2","0","2"
"R","2012","12/08/2012","Gymnastics","0","Mariya Paseka","17","Russia","1","1","2"
"R","2012","12/08/2012","Gymnastics","0","Catalina Ponor","24","Romania","1","1","2"
"G","2012","12/08/2012","Gymnastics","0","Louis Smith","23","Great Britain","1","1","2"
"G","2012","12/08/2012","Gymnastics","0","Max Whitlock","19","Great Britain","0","2","2"
"C","2008","24/08/2008","Gymnastics","2","Chen Yibing","23","China","0","0","2"
"R","2008","24/08/2008","Gymnastics","0","Anton Golotsutskov","23","Russia","0","2","2"
"C","2008","24/08/2008","Gymnastics","2","He Kexin","16","China","0","0","2"
"U","2008","24/08/2008","Gymnastics","0","Jonathan Horton","22","United States","1","1","2"
"R","2008","24/08/2008","Gymnastics","1","Sandra Izbasa","18","Romania","0","1","2"
"C","2008","24/08/2008","Gymnastics","2","Li Xiaopeng","27","China","0","0","2"
"J","2008","24/08/2008","Gymnastics","0","Kohei Uchimura","19","Japan","2","0","2"
"C","2008","24/08/2008","Gymnastics","2","Xiao Qin","23","China","0","0","2"
"R","2004","29/08/2004","Gymnastics","1","Alexandra Eremia","17","Romania","0","1","2"
"U","2004","29/08/2004","Gymnastics","0","Annia Hatch","26","United States","2","0","2"
"U","2004","29/08/2004","Gymnastics","0","Terin Humphrey","18","United States","2","0","2"
"J","2004","29/08/2004","Gymnastics","1","Takehiro Kashima","24","Japan","0","1","2"
"R","2004","29/08/2004","Gymnastics","0","Svetlana Khorkina","25","Russia","1","1","2"
"U","2004","29/08/2004","Gymnastics","0","Courtney Kupets","18","United States","1","1","2"
"R","2004","29/08/2004","Gymnastics","0","Anna Pavlova","16","Russia","0","2","2"
"R","2004","29/08/2004","Gymnastics","2","Monica Rosu","17","Romania","0","0","2"
"R","2004","29/08/2004","Gymnastics","1","Dana Sofronie","16","Romania","1","0","2"
"J","2004","29/08/2004","Gymnastics","1","Hiroyuki Tomita","23","Japan","1","0","2"
"R","2004","29/08/2004","Gymnastics","0","Marius Urzica","28","Romania","1","1","2"
"J","2004","29/08/2004","Gymnastics","1","Isao Yoneda","26","Japan","0","1","2"
"B","2004","29/08/2004","Gymnastics","0","Yordan Yovchev","31","Bulgaria","1","1","2"
"U","2000","01/10/2000","Gymnastics","0","Oleksandr Beresh","22","Ukraine","1","1","2"
"R","2000","01/10/2000","Gymnastics","0","Aleksey Bondarenko","22","Russia","1","1","2"
"S","2000","01/10/2000","Gymnastics","0","Lee Ju-Hyeong","27","South Korea","1","1","2"
"C","2000","01/10/2000","Gymnastics","2","Li Xiaopeng","19","China","0","0","2"
"C","2000","01/10/2000","Gymnastics","1","Liu Xuan","21","China","0","1","2"
"R","2000","01/10/2000","Gymnastics","1","Maria Olaru","18","Romania","1","0","2"
"R","2000","01/10/2000","Gymnastics","0","Yelena Produnova","20","Russia","1","1","2"
"R","2000","01/10/2000","Gymnastics","1","Andreea Raducan","16","Romania","1","0","2"
"C","2000","01/10/2000","Gymnastics","1","Yang Wei","20","China","1","0","2"
"B","2000","01/10/2000","Gymnastics","0","Yordan Yovchev","27","Bulgaria","0","2","2"
"I","2012","12/08/2012","Fencing","2","Elisa Di Francisca","29","Italy","0","0","2"
"I","2012","12/08/2012","Fencing","1","Arianna Errigo","24","Italy","1","0","2"
"I","2012","12/08/2012","Fencing","0","Diego Occhiuzzi","31","Italy","1","1","2"
"C","2012","12/08/2012","Fencing","1","Sun Yujie","19","China","0","1","2"
"I","2012","12/08/2012","Fencing","1","Valentina Vezzali","38","Italy","0","1","2"
"I","2008","24/08/2008","Fencing","0","Stefano Carozzo","29","Italy","0","2","2"
"I","2008","24/08/2008","Fencing","0","Margherita Granbassi","28","Italy","0","2","2"
"U","2008","24/08/2008","Fencing","0","Sada Jacobson","25","United States","1","1","2"
"F","2008","24/08/2008","Fencing","1","Fabrice Jeannet","27","France","1","0","2"
"F","2008","24/08/2008","Fencing","1","Nicolas Lopez","27","France","1","0","2"
"I","2008","24/08/2008","Fencing","1","Matteo Tagliariol","25","Italy","0","1","2"
"I","2008","24/08/2008","Fencing","1","Valentina Vezzali","34","Italy","0","1","2"
"U","2008","24/08/2008","Fencing","0","Becca Ward","18","United States","0","2","2"
"U","2008","24/08/2008","Fencing","1","Mariel Zagunis","23","United States","0","1","2"
"I","2004","29/08/2004","Fencing","1","Andrea Cassarà","20","Italy","0","1","2"
"F","2004","29/08/2004","Fencing","0","Laura Flessel-Colovic","32","France","1","1","2"
"I","2004","29/08/2004","Fencing","1","Aldo Montano","25","Italy","1","0","2"
"F","2004","29/08/2004","Fencing","0","Maureen Nisima","23","France","0","2","2"
"I","2004","29/08/2004","Fencing","1","Salvatore Sanzo","28","Italy","1","0","2"
"F","2000","01/10/2000","Fencing","0","Mathieu Gourdain","26","France","2","0","2"
"S","2000","01/10/2000","Fencing","0","Gianna Hablützel-Bürki","30","Switzerland","2","0","2"
"G","2000","01/10/2000","Fencing","0","Rita König","23","Germany","1","1","2"
"G","2000","01/10/2000","Fencing","0","Wiradech Kothny","21","Germany","0","2","2"
"F","2000","01/10/2000","Fencing","0","Hugues Obry","27","France","2","0","2"
"I","2000","01/10/2000","Fencing","1","Giovanna Trillini","30","Italy","0","1","2"
"I","2000","01/10/2000","Fencing","2","Valentina Vezzali","26","Italy","0","0","2"
"G","2012","12/08/2012","Equestrian","1","Sandra Auffarth","25","Germany","0","1","2"
"G","2012","12/08/2012","Equestrian","1","Laura Bechtolsheimer","27","Great Britain","0","1","2"
"N","2012","12/08/2012","Equestrian","0","Adelinde Cornelissen","33","Netherlands","1","1","2"
"G","2012","12/08/2012","Equestrian","2","Charlotte Dujardin","27","Great Britain","0","0","2"
"G","2012","12/08/2012","Equestrian","2","Michael Jung","29","Germany","0","0","2"
"N","2012","12/08/2012","Equestrian","0","Gerco Schröder","34","Netherlands","2","0","2"
"G","2008","24/08/2008","Equestrian","0","Tina Cook","37","Great Britain","0","2","2"
"G","2008","24/08/2008","Equestrian","1","Heike Kemmer","46","Germany","0","1","2"
"C","2008","24/08/2008","Equestrian","1","Eric Lamaze","40","Canada","1","0","2"
"U","2008","24/08/2008","Equestrian","1","Beezie Madden","44","United States","0","1","2"
"G","2008","24/08/2008","Equestrian","2","Hinrich Romeike","45","Germany","0","0","2"
"N","2008","24/08/2008","Equestrian","1","Anky van Grunsven","40","Netherlands","1","0","2"
"G","2008","24/08/2008","Equestrian","1","Isabell Werth","39","Germany","1","0","2"
"S","2004","29/08/2004","Equestrian","0","Beatriz Ferrer-Salat","38","Spain","1","1","2"
"G","2004","29/08/2004","Equestrian","0","Pippa Funnell","35","Great Britain","1","1","2"
"U","2004","29/08/2004","Equestrian","1","Chris Kappler","37","United States","1","0","2"
"G","2004","29/08/2004","Equestrian","0","Marco Kutscher","29","Germany","0","2","2"
"G","2004","29/08/2004","Equestrian","1","Leslie Law","39","Great Britain","1","0","2"
"G","2004","29/08/2004","Equestrian","1","Ulla Salzgeber","46","Germany","1","0","2"
"U","2004","29/08/2004","Equestrian","0","Kim Severson","30","United States","1","1","2"
"A","2000","01/10/2000","Equestrian","1","Andrew Hoy","41","Australia","1","0","2"
"U","2000","01/10/2000","Equestrian","1","David O'Connor","38","United States","0","1","2"
"G","2000","01/10/2000","Equestrian","1","Ulla Salzgeber","42","Germany","0","1","2"
"N","2000","01/10/2000","Equestrian","1","Anky van Grunsven","32","Netherlands","1","0","2"
"G","2000","01/10/2000","Equestrian","1","Isabell Werth","31","Germany","1","0","2"
"U","2012","12/08/2012","Diving","1","David Boudia","23","United States","0","1","2"
"C","2012","12/08/2012","Diving","2","Chen Ruolin","19","China","0","0","2"
"C","2012","12/08/2012","Diving","1","He Zi","21","China","1","0","2"
"C","2012","12/08/2012","Diving","1","Qin Kai","26","China","1","0","2"
"C","2012","12/08/2012","Diving","2","Wu Minxia","26","China","0","0","2"
"R","2012","12/08/2012","Diving","1","Ilya Zakharov","21","Russia","1","0","2"
"C","2008","24/08/2008","Diving","2","Chen Ruolin","15","China","0","0","2"
"R","2008","24/08/2008","Diving","0","Gleb Galperin","25","Russia","0","2","2"
"C","2008","24/08/2008","Diving","2","Guo Jingjing","26","China","0","0","2"
"R","2008","24/08/2008","Diving","0","Yuliya Pakhalina","30","Russia","2","0","2"
"C","2008","24/08/2008","Diving","1","Qin Kai","22","China","0","1","2"
"C","2008","24/08/2008","Diving","1","Wang Xin","16","China","0","1","2"
"C","2008","24/08/2008","Diving","1","Wu Minxia","22","China","0","1","2"
"C","2004","29/08/2004","Diving","2","Guo Jingjing","22","China","0","0","2"
"A","2004","29/08/2004","Diving","0","Mathew Helm","23","Australia","1","1","2"
"C","2004","29/08/2004","Diving","1","Lao Lishi","16","China","1","0","2"
"A","2004","29/08/2004","Diving","1","Chantelle Michell-Newbery","27","Australia","0","1","2"
"A","2004","29/08/2004","Diving","0","Robert Newbery","25","Australia","0","2","2"
"R","2004","29/08/2004","Diving","0","Yuliya Pakhalina","26","Russia","1","1","2"
"C","2004","29/08/2004","Diving","1","Tian Liang","24","China","0","1","2"
"C","2004","29/08/2004","Diving","1","Wu Minxia","18","China","1","0","2"
"C","2000","01/10/2000","Diving","1","Fu Mingxia","22","China","1","0","2"
"C","2000","01/10/2000","Diving","0","Guo Jingjing","18","China","2","0","2"
"C","2000","01/10/2000","Diving","0","Hu Jia","17","China","2","0","2"
"C","2000","01/10/2000","Diving","1","Li Na","16","China","1","0","2"
"C","2000","01/10/2000","Diving","0","Anne Montminy","25","Canada","1","1","2"
"C","2000","01/10/2000","Diving","1","Tian Liang","21","China","1","0","2"
"C","2000","01/10/2000","Diving","2","Xiong Ni","26","China","0","0","2"
"F","2012","12/08/2012","Cycling","0","Grégory Baugé","27","France","2","0","2"
"G","2012","12/08/2012","Cycling","1","Ed Clancy","27","Great Britain","0","1","2"
"U","2012","12/08/2012","Cycling","0","Sarah Hammer","28","United States","2","0","2"
"G","2012","12/08/2012","Cycling","2","Chris Hoy","36","Great Britain","0","0","2"
"G","2012","12/08/2012","Cycling","2","Jason Kenny","24","Great Britain","0","0","2"
"G","2012","12/08/2012","Cycling","0","Maximilian Levy","25","Germany","1","1","2"
"A","2012","12/08/2012","Cycling","1","Anna Meares","28","Australia","0","1","2"
"G","2012","12/08/2012","Cycling","1","Vicki Pendleton","31","Great Britain","1","0","2"
"G","2012","12/08/2012","Cycling","2","Laura Trott","20","Great Britain","0","0","2"
"R","2012","12/08/2012","Cycling","0","Olga Zabelinskaya","32","Russia","0","2","2"
"F","2008","24/08/2008","Cycling","0","Mickaël Bourgain","28","France","1","1","2"
"S","2008","24/08/2008","Cycling","1","Fabian Cancellara","27","Switzerland","1","0","2"
"G","2008","24/08/2008","Cycling","1","Jason Kenny","20","Great Britain","1","0","2"
"S","2008","24/08/2008","Cycling","1","Joan Llaneras","39","Spain","1","0","2"
"N","2008","24/08/2008","Cycling","0","Hayden Roulston","27","New Zealand","1","1","2"
"G","2008","24/08/2008","Cycling","2","Bradley Wiggins","28","Great Britain","0","0","2"
"A","2004","29/08/2004","Cycling","2","Ryan Bayley","22","Australia","0","0","2"
"A","2004","29/08/2004","Cycling","2","Graeme Brown","25","Australia","0","0","2"
"S","2004","29/08/2004","Cycling","0","Sergi Escobar","29","Spain","0","2","2"
"G","2004","29/08/2004","Cycling","0","Rob Hayles","31","Great Britain","1","1","2"
"A","2004","29/08/2004","Cycling","1","Brad McGee","28","Australia","1","0","2"
"A","2004","29/08/2004","Cycling","1","Anna Meares","20","Australia","0","1","2"
"G","2004","29/08/2004","Cycling","1","Stefan Nimke","26","Germany","0","1","2"
"R","2004","29/08/2004","Cycling","1","Olga Slyusareva","35","Russia","0","1","2"
"F","2004","29/08/2004","Cycling","0","Arnaud Tournant","26","France","1","1","2"
"G","2004","29/08/2004","Cycling","1","René Wolff","26","Germany","0","1","2"
"N","2004","29/08/2004","Cycling","1","Leontien Zijlaard-van Moorsel","34","Netherlands","0","1","2"
"F","2000","01/10/2000","Cycling","2","Félicia Ballanger","29","France","0","0","2"
"G","2000","01/10/2000","Cycling","2","Robert Bartko","24","Germany","0","0","2"
"G","2000","01/10/2000","Cycling","0","Jens Fiedler","30","Germany","0","2","2"
"G","2000","01/10/2000","Cycling","1","Jens Lehmann","32","Germany","1","0","2"
"A","2000","01/10/2000","Cycling","0","Gary Neiwand","34","Australia","1","1","2"
"G","2000","01/10/2000","Cycling","1","Jason Queally","30","Great Britain","1","0","2"
